Identifiant,n° notice BnF,Type de notice ,Type de document,Localisation,Exemplaire n°,Titre,Auteur,Contributeur,Editeur,Date,Description,Sujet,Couverture,Langue,Format
http://catalogue.bnf.fr/ark:/12148/cb38466618k,38466618,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-601 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 7, Cours du 29 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310940numéro de fabrication,"Hobbes, Thomas (1588-1679). Leviathan | Histoire sociale -- Jusqu'à 500 | Villes | ",,fre | français | ,"3 disques compacts enregistrables (46 min 27 s, 46 min 28 s, 35 min 53 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466618k,38466618,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-601 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 7, Cours du 29 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310940numéro de fabrication,"Hobbes, Thomas (1588-1679). Leviathan | Histoire sociale -- Jusqu'à 500 | Villes | ",,fre | français | ,"3 disques compacts enregistrables (46 min 27 s, 46 min 28 s, 35 min 53 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666386,38466638,monographie,enregistrement sonore,Document numérique | NUMAUD-128277 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 8, Cours du 5 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310949numéro de fabrication,"Marx, Karl (1818-1883). Das Kapital | Axiomatique | Classes sociales | ",,fre | français | ,"3 disques compacts enregistrables (54 min 30 s, 46 min 29 s, 18 min 54 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666386,38466638,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-602 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 8, Cours du 5 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310949numéro de fabrication,"Marx, Karl (1818-1883). Das Kapital | Axiomatique | Classes sociales | ",,fre | français | ,"3 disques compacts enregistrables (54 min 30 s, 46 min 29 s, 18 min 54 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666386,38466638,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-602 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 8, Cours du 5 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310949numéro de fabrication,"Marx, Karl (1818-1883). Das Kapital | Axiomatique | Classes sociales | ",,fre | français | ,"3 disques compacts enregistrables (54 min 30 s, 46 min 29 s, 18 min 54 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466639j,38466639,monographie,enregistrement sonore,Document numérique | NUMAUD-128278 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 9, Cours du 26 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310941numéro de fabrication,"Marx, Karl (1818-1883) -- Critique et interprétation | Axiomatique | ",,fre | français | ,"3 disques compacts enregistrables (46 min 08 s, 46 min 16 s, 16 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466639j,38466639,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-603 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 9, Cours du 26 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310941numéro de fabrication,"Marx, Karl (1818-1883) -- Critique et interprétation | Axiomatique | ",,fre | français | ,"3 disques compacts enregistrables (46 min 08 s, 46 min 16 s, 16 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466639j,38466639,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-603 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 9, Cours du 26 février 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310941numéro de fabrication,"Marx, Karl (1818-1883) -- Critique et interprétation | Axiomatique | ",,fre | français | ,"3 disques compacts enregistrables (46 min 08 s, 46 min 16 s, 16 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466642f,38466642,monographie,enregistrement sonore,Document numérique | NUMAUD-128279 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 10, Cours du 4 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 722820371379numéro de fabrication,Axiomatique | Université de Paris VIII | ,,fre | français | ,"2 disques compacts enregistrables (46 min 28 s, 1 h 12 min 54 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466642f,38466642,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-604 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 10, Cours du 4 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 722820371379numéro de fabrication,Axiomatique | Université de Paris VIII | ,,fre | français | ,"2 disques compacts enregistrables (46 min 28 s, 1 h 12 min 54 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466642f,38466642,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-604 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 10, Cours du 4 mars 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 722820371379numéro de fabrication,Axiomatique | Université de Paris VIII | ,,fre | français | ,"2 disques compacts enregistrables (46 min 28 s, 1 h 12 min 54 s)"
