id,titre,curation:theme,dcterms:valid,curation:number
72780,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 06, Cours du 11 décembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,6
72781,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 07, Cours du 18 décembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,7
72787,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 7, Cours du 10 janvier 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,7
72791,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 8, Cours du 17 janvier 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,8
72794,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 9, Cours du 24 janvier 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,9
72798,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 10, Cours du 31 janvier 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,10
72805,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 11, Cours du 7 février 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant ; Eric Alliez, participant","Vérité et temps, le faussaire",1983-1984,11
72807,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 12, Cours du 28 février 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,12
72813,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 13, Cours du 13 mars 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,13
72819,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 14, Cours du 20 mars 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,14
