id,Url,"Resource class",properties_small
,http://localhost/omk_deleuze/s/cours-bnf/item/72560,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72559,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72558,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72557,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72556,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72555,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72554,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72553,,
,http://localhost/omk_deleuze/s/cours-bnf/item/72552,jdc:Transcription,
,http://localhost/omk_deleuze/s/cours-bnf/item/72526,jdc:Transcription,
,http://localhost/omk_deleuze/s/cours-bnf/item/72425,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72424,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72423,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72422,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72421,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72420,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72419,skos:Concept,
